City,Purchase_Amount
Aaronberg,339.22
Aaronborough,1199.3
Aaronburgh,952.6600000000001
Aaronbury,883.34
Aaronchester,1276.14
Aaronfort,437.76
Aaronfurt,566.46
Aaronhaven,393.59
Aaronland,637.88
Aaronmouth,1377.6599999999999
Aaronport,914.03
Aaronshire,496.76
Aaronside,430.16999999999996
Aaronstad,195.33
Aaronton,98.24
Aarontown,64.04
Aaronview,490.2
Aaronville,1126.31
Abbottfurt,323.33
Abbottland,456.76
Abbottside,344.82
Abbotttown,149.94
Abigailberg,175.47
Abigailborough,319.75
Abigailburgh,267.91
Abigailbury,327.66
Abigailfurt,253.95
Abigailland,108.0
Abigailside,312.32
Abigailton,342.8
Abigailtown,194.05
Abigailview,279.51
Acevedobury,81.83
Acevedomouth,237.83
Acevedoview,182.56
Acostaburgh,332.06
Acostamouth,491.58
Acostaport,39.15
Acostatown,239.49
Adamberg,184.29
Adamborough,969.91
Adamburgh,233.28
Adambury,1262.96
Adamchester,165.27999999999997
Adamfort,127.79
Adamfurt,909.6600000000001
Adamhaven,545.14
Adamland,834.49
Adammouth,1188.73
Adamport,1510.83
Adamsborough,838.95
Adamsburgh,756.6
Adamsbury,1097.71
Adamschester,243.69
Adamsfort,612.47
Adamsfurt,209.8
Adamshaven,442.32000000000005
Adamshire,240.37
Adamside,1145.37
Adamsland,1181.0
Adamsmouth,558.58
Adamsport,230.31
Adamsshire,369.81
Adamsside,1076.68
Adamsstad,391.08
Adamstad,324.5
Adamston,614.6300000000001
Adamstown,656.0
Adamsview,221.89000000000001
Adamsville,459.97
Adamton,1282.81
Adamtown,732.87
Adamview,28.36
Adamville,1120.9
Adkinsbury,123.46
Adkinsfurt,62.82
Adkinsport,85.97
Adkinsside,489.86
Adkinston,21.1
Adrianaville,93.21
Adrianberg,87.66
Adrianborough,816.89
Adrianburgh,306.53
Adrianchester,392.61
Adrianfort,679.0699999999999
Adrianfurt,604.49
Adrianhaven,143.28
Adrianland,168.29
Adrianport,426.09000000000003
Adrianton,124.73
Adriantown,247.94
Adrianview,292.32
Adriennechester,33.79
Aguilarburgh,1036.41
Aguilarbury,178.94
Aguilarchester,71.78
Aguilarfurt,264.01
Aguilarmouth,483.09
Aguilarstad,272.43
Aguilarton,54.769999999999996
Aguirrefort,241.3
Aguirremouth,375.03
Aguirreport,23.2
Aguirreside,140.8
Aguirretown,415.51
Aguirreview,335.67
Aimeemouth,230.43
Aimeeside,256.74
Alanborough,60.97
Alanburgh,133.05
Alanfort,77.2
Alanfurt,447.68
Alanhaven,567.48
Alanland,306.03
Alanmouth,1323.53
Alanport,409.1
Alanside,435.03
Alanview,302.29
Alanville,472.87
Albertberg,265.28
Albertborough,306.96
Albertbury,180.76
Albertfurt,256.17
Alberthaven,240.0
Albertstad,526.42
Albertville,100.36
Alecmouth,494.96
Alejandrafort,46.18
Alejandroberg,457.78
Alejandrochester,424.07
Alejandroland,84.54
Alejandromouth,98.47
Alejandroton,1186.12
Alejandroville,184.88
Alexaborough,233.42
Alexachester,261.11
Alexaland,211.88
Alexanderberg,1073.48
Alexanderborough,358.45
Alexanderburgh,1642.56
Alexanderbury,897.84
Alexanderchester,246.18
Alexanderfort,41.22
Alexanderfurt,263.86
Alexanderhaven,780.6700000000001
Alexanderland,1236.21
Alexandermouth,1135.6999999999998
Alexanderport,1274.77
Alexandershire,917.53
Alexanderside,884.5
Alexanderstad,479.92999999999995
Alexanderton,637.14
Alexandertown,742.12
Alexanderview,1340.76
Alexanderville,846.38
Alexandraborough,273.08
Alexandraburgh,347.19
Alexandrabury,386.52
Alexandrahaven,314.15
Alexandramouth,769.38
Alexandrashire,378.15000000000003
Alexandraville,310.63
Alexandriaberg,476.07
Alexandriaburgh,392.02
Alexandriafurt,493.14
Alexandriashire,249.13
Alexandriaton,250.85
Alexashire,491.44
Alexaton,94.34
Alexberg,287.25
Alexborough,462.76
Alexburgh,321.31
Alexbury,273.04
Alexfort,412.84
Alexhaven,193.65
Alexisberg,484.39
Alexisborough,73.3
Alexisburgh,339.37
Alexisbury,869.7
Alexischester,396.13
Alexisfort,321.35
Alexisfurt,594.5799999999999
Alexishaven,250.7
Alexismouth,492.97
Alexisport,92.03999999999999
Alexisshire,408.72
Alexisstad,183.11
Alexiston,120.09
Alexland,44.81
Alexmouth,166.51999999999998
Alexside,674.06
Alexstad,629.18
Alexton,344.33
Alexview,264.23
Alexville,174.73
Alfredborough,401.8
Alfredfort,388.8
Alfredfurt,42.77
Alfredtown,175.04
Aliceland,96.94
Aliceport,426.55
Aliciaburgh,427.39
